dff	machine_status	job_id	machine_id	created_at	updated_at	total_run_time	total_cutting_time	run_time	feed_rate	cutting_speed	spindle_speed	spindle_load	axis_load	axis_name	programe_number	programe_description	run_second
4	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:30:20 UTC	2017-08-01 03:30:20 UTC	941	734973	16	220	1799					144		
4	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:30:44 UTC	2017-08-01 03:30:44 UTC	941	734973	17	24000	1199					144		
4	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:31:07 UTC	2017-08-01 03:31:07 UTC	942	734973	17	250	2200					144		
4	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:31:30 UTC	2017-08-01 03:31:30 UTC	942	734973	18	250	2199					144		
4	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:31:53 UTC	2017-08-01 03:31:53 UTC	942	734973	18	24830	2000					144		
4	3		16	2017-08-01 03:32:15 UTC	2017-08-01 03:32:15 UTC	943	734973	18	0	51					144		
4	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:32:38 UTC	2017-08-01 03:32:38 UTC	943	734973	19	0	0					144		
4	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:33:01 UTC	2017-08-01 03:33:01 UTC	944	734973	19	24000	0					144		
5	0		16	2017-08-01 03:33:23 UTC	2017-08-01 03:33:23 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:33:46 UTC	2017-08-01 03:33:46 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:34:08 UTC	2017-08-01 03:34:08 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:34:31 UTC	2017-08-01 03:34:31 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:34:54 UTC	2017-08-01 03:34:54 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:35:17 UTC	2017-08-01 03:35:17 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:35:40 UTC	2017-08-01 03:35:40 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:36:02 UTC	2017-08-01 03:36:02 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:36:25 UTC	2017-08-01 03:36:25 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:36:47 UTC	2017-08-01 03:36:47 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:37:10 UTC	2017-08-01 03:37:10 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:37:32 UTC	2017-08-01 03:37:32 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:37:54 UTC	2017-08-01 03:37:54 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:38:17 UTC	2017-08-01 03:38:17 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:38:40 UTC	2017-08-01 03:38:40 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:39:02 UTC	2017-08-01 03:39:02 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:39:25 UTC	2017-08-01 03:39:25 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:39:48 UTC	2017-08-01 03:39:48 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:40:10 UTC	2017-08-01 03:40:10 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:40:33 UTC	2017-08-01 03:40:33 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:40:55 UTC	2017-08-01 03:40:55 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:41:18 UTC	2017-08-01 03:41:18 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:41:41 UTC	2017-08-01 03:41:41 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:42:03 UTC	2017-08-01 03:42:03 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:42:26 UTC	2017-08-01 03:42:26 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:42:48 UTC	2017-08-01 03:42:48 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:43:11 UTC	2017-08-01 03:43:11 UTC	944	734974	19	0	0					144		
0	0		16	2017-08-01 03:43:33 UTC	2017-08-01 03:43:33 UTC	944	734974	19	0	0					144		
0	1		16	2017-08-01 03:43:56 UTC	2017-08-01 03:43:56 UTC	944	734974	0	0	0					144		
0	3		16	2017-08-01 03:44:19 UTC	2017-08-01 03:44:19 UTC	944	734974	0	350	1500					144		
0	3		16	2017-08-01 03:44:41 UTC	2017-08-01 03:44:41 UTC	0	734974	0	350	1501					144		
0	3		16	2017-08-01 03:45:04 UTC	2017-08-01 03:45:04 UTC	0	734974	1	350	1500					144		
0	3		16	2017-08-01 03:45:27 UTC	2017-08-01 03:45:27 UTC	1	734975	1	350	1500					144		
0	3		16	2017-08-01 03:45:49 UTC	2017-08-01 03:45:49 UTC	1	734975	1	350	1501					144		
0	3		16	2017-08-01 03:46:11 UTC	2017-08-01 03:46:11 UTC	1	734975	2	350	1500					144		
0	3		16	2017-08-01 03:46:34 UTC	2017-08-01 03:46:34 UTC	2	734976	2	350	1500					144		
0	3		16	2017-08-01 03:46:56 UTC	2017-08-01 03:46:56 UTC	2	734976	2	350	1501					144		
0	3		16	2017-08-01 03:47:18 UTC	2017-08-01 03:47:18 UTC	2	734976	3	350	1500					144		
0	3		16	2017-08-01 03:47:42 UTC	2017-08-01 03:47:42 UTC	3	734977	3	350	1500					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:48:05 UTC	2017-08-01 03:48:05 UTC	3	734977	4	300	1400					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:48:29 UTC	2017-08-01 03:48:29 UTC	4	734977	4	300	1399					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:48:51 UTC	2017-08-01 03:48:51 UTC	4	734978	4	300	1600					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:49:14 UTC	2017-08-01 03:49:14 UTC	4	734978	5	0	1					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:49:38 UTC	2017-08-01 03:49:38 UTC	5	734978	5	350	2401					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:50:02 UTC	2017-08-01 03:50:02 UTC	5	734978	6	350	2400					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:50:31 UTC	2017-08-01 03:50:31 UTC	6	734979	6	350	2401					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:50:53 UTC	2017-08-01 03:50:53 UTC	6	734979	6	350	2400					144		
0	3		16	2017-08-01 03:51:17 UTC	2017-08-01 03:51:17 UTC	6	734979	7	24000	0					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:51:40 UTC	2017-08-01 03:51:40 UTC	7	734980	7	0	2768					144		
0	1		16	2017-08-01 03:52:04 UTC	2017-08-01 03:52:04 UTC	7	734980	7	0	0					144		
0	1		16	2017-08-01 03:52:26 UTC	2017-08-01 03:52:26 UTC	7	734980	7	0	47					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:52:49 UTC	2017-08-01 03:52:49 UTC	7	734980	8	120	801					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:53:12 UTC	2017-08-01 03:53:12 UTC	8	734980	8	2000	0					144		
0	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 03:53:35 UTC	2017-08-01 03:53:35 UTC	8	734980	8	120	801					144		
