parts_count,machine_status,job_id,machine_id,created_at,updated_at,total_run_time,total_cutting_time,run_time,feed_rate,cutting_speed,spindle_speed,spindle_load,axis_load,axis_name,programe_number,programe_description,run_second,total_run_second
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:39:34 UTC,2017-08-09 03:39:34 UTC,5174,285592,21,4286,3199,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:39:56 UTC,2017-08-09 03:39:56 UTC,5175,285592,22,0,33,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:40:19 UTC,2017-08-09 03:40:19 UTC,5175,285592,22,0,3200,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:40:41 UTC,2017-08-09 03:40:41 UTC,5175,285592,22,30000,0,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:41:03 UTC,2017-08-09 03:41:03 UTC,5175,285593,23,180,3199,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:41:26 UTC,2017-08-09 03:41:26 UTC,5176,285593,23,180,3199,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:41:48 UTC,2017-08-09 03:41:48 UTC,5176,285593,23,580,2799,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:42:11 UTC,2017-08-09 03:42:11 UTC,5176,285593,24,30000,2799,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:42:33 UTC,2017-08-09 03:42:33 UTC,5177,285594,24,580,2799,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:42:56 UTC,2017-08-09 03:42:56 UTC,5177,285594,25,0,5999,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:43:18 UTC,2017-08-09 03:43:18 UTC,5178,285594,25,950,5999,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:43:41 UTC,2017-08-09 03:43:41 UTC,5178,285594,25,1894,5999,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:44:03 UTC,2017-08-09 03:44:03 UTC,5178,285595,26,120,1799,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:44:26 UTC,2017-08-09 03:44:26 UTC,5179,285595,26,360,1799,,,,,3524,,,
1,3,"",49,2017-08-09 03:44:48 UTC,2017-08-09 03:44:48 UTC,5179,285595,26,0,0,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:45:11 UTC,2017-08-09 03:45:11 UTC,5179,285596,27,320,3199,,,,,3524,,,
1,3,(*BLOCK MOUNTING 2ND OPN-20*),49,2017-08-09 03:45:33 UTC,2017-08-09 03:45:33 UTC,5180,285596,27,850,3199,,,,,3524,,,
